imagen,resultado
buffer_simil_negro_rectangulo.png,"[72.67202542393763, 61.614514782686534, 60.29325517046744]"
buffer_80_porciento_latas.png,"[83.37641018708418, 80.38199049518, 81.56495618229202]"
buffer_50_porciento_rojo.png,"[66.30572725383495, 55.526847694939775, 46.340990278574196]"
buffer_75_porciento_rojo.png,"[80.69253992844024, 76.02609509923414, 69.81595059968711]"
buffer_tapas_plasticas_transparentes_verdes.png,"[74.71761768963795, 71.7844908082448, 66.70728523388395]"
buffer_40_porciento_azul.png,"[71.64779945555607, 55.353848953782006, 57.03122780667494]"
buffer_bandeja_comida2.png,"[28.963365545442937, 51.121835944604435, 56.70816563716451]"
buffer_caja_leche.png,"[34.24436360673749, 40.84204234844566, 38.172686467294504]"
buffer_100_porciento_mezcla.png,"[95.20548312442888, 96.85659340460799, 97.36888422445189]"
buffer_50_porciento_latas.png,"[85.68304909156379, 75.47659853778399, 73.84103364279669]"
buffer_simil_cubiertas.png,"[57.38771478625841, 45.931697828883095, 42.9862742553114]"
buffer_tapas_plasticas_transparentes.png,"[60.63503805079912, 52.517534210745644, 43.47542969192036]"
buffer_bandeja_comida.png,"[34.45726177360785, 38.31049575950671, 34.7388275203968]"
buffer_simil_negro_rectangulo_2.png,"[84.52776867172068, 79.35896537556837, 78.20334825142724]"
buffer_mas_bolsas.png,"[40.08786922419731, 40.94575108254073, 39.63150742092395]"
buffer_simil_negro_cuadraditos.png,"[76.54770439257244, 75.4056493967, 76.21942375169621]"
buffer_25_porciento_rojo.png,"[50.866181074357954, 43.94173145846474, 35.24672790079932]"
buffer_80_porciento_azul.png,"[81.59427430272362, 69.95412323627292, 74.38923047683798]"
buffer_simil_cubiertas_2.png,"[57.11265922026683, 46.22175721127179, 44.96381722982431]"
buffer_80_porciento_mezcla.png,"[82.96188417697297, 73.17874670288434, 76.07759941093562]"
buffer_20_porciento_azul.png,"[62.50508033210258, 49.10363088504059, 45.825588239573385]"
buffer_30_porciento_latas.png,"[71.63569908064842, 59.00035978067769, 51.4900274180351]"
buffer_gomas.png,"[42.92015930081803, 43.347026422730416, 35.24903820234512]"
buffer_60_porciento_azul.png,"[75.93347040908365, 65.24624177734606, 69.33528397636822]"
buffer_90_porciento_rojo.png,"[82.86752856937215, 78.64704982738826, 75.1451700401222]"
buffer_vacio.png,"[32.946189096573576, 25.810538853365895, 21.28367351386307]"
buffer_tapas_plasticas_verde.png,"[60.859974061437526, 54.41438342834757, 51.25892824254351]"
buffer_bolsas.png,"[38.15211912980727, 34.12463020881027, 31.249433317118324]"
